CODMES_COSECHA,sum_mtodeuda,sum_mtogastoprovsol,CTDMESMADURACION,pdponderado
202505,473091108.440000,-115424.6318,2,0.019455
202505,657377084.080000,6581680.2016,0,0.019455
202505,429906085.330000,734569.1985,3,0.019455
202505,534424678.200000,-1101431.3192,1,0.019455
202505,393550953.890000,952539.7499,4,0.019455
202309,130929603.810000,467501.7874,17,
202309,431173638.030000,-467978.4568,1,
202309,487674989.160000,4919713.7189,0,
202309,391763947.230000,272245.4613,2,
202309,233748358.520000,1833271.8100,9,
202309,184789035.550000,908669.7851,12,
202309,312812401.230000,1575906.4948,5,
202309,358701886.030000,1041612.7510,3,
202309,91043155.550000,471757.1830,22,
202309,288178703.730000,2206469.7028,6,
202309,200498465.610000,1499630.2207,11,
202309,122706645.500000,876257.9409,18,
202309,98531924.400000,611121.3974,21,
202309,216195111.960000,1271958.5336,10,
202309,266353729.330000,1736022.2955,7,
202309,150929284.050000,759905.3913,15,
202309,334992173.640000,1554142.3263,4,
202309,247213870.630000,1775578.6363,8,
202309,84697817.920000,407781.6925,23,
202309,171381697.470000,866399.4043,13,
202309,161200625.610000,776890.1500,14,
202309,105648452.400000,327198.1770,20,
202309,78657182.630000,429384.2230,24,
202309,113810678.820000,636477.9944,19,
202309,140312860.800000,853751.7768,16,
202211,447336755.990000,6553408.7984,6,
202211,188047676.220000,1514569.4458,20,
202211,68084718.910000,336265.3850,34,
202211,711193219.460000,7133192.1000,0,
202211,476333380.870000,7390792.5628,5,
202211,641995299.740000,-455396.1290,1,
202211,201737619.430000,2079919.7004,19,
202211,370013449.470000,4417519.2173,9,
202211,392520737.670000,6230304.8128,8,
202211,501594496.510000,6552521.1144,4,
202211,541757687.000000,4115135.6285,3,
202211,123269535.580000,892393.3269,26,
202211,141109487.450000,668925.5109,24,
202211,291932288.890000,2780889.5528,13,
202211,73604717.240000,465479.2139,33,
202211,243217944.220000,2559328.2733,16,
202211,99866021.680000,572980.5392,29,
202211,579621396.170000,1497236.1678,2,
202211,176621412.250000,1527669.0382,21,
202211,213273982.590000,2150167.7594,18,
202211,92492295.950000,577301.3148,30,
202211,258472051.140000,2598025.0810,15,
202211,348782758.150000,3273758.2700,10,
202509,791027717.560000,7965456.2956,0,0.020786
202211,131391419.200000,890491.2084,25,
202211,227840967.920000,2449748.9563,17,
202211,85622899.930000,777966.1305,31,
202211,107824989.100000,982870.9955,28,
202211,308352653.810000,2781885.4930,12,
202211,115130805.660000,334129.0858,27,
202211,327865561.620000,4399645.4103,11,
202211,420925089.260000,6977767.7021,7,
202211,275765905.200000,2803259.5852,14,
202211,153219219.330000,994696.5993,23,
202211,79441474.720000,394726.8218,32,
202211,164173403.350000,680196.8926,22,
202208,443810112.590000,7076677.3113,5,
202208,501046250.720000,4208157.3454,3,
202208,242166580.840000,2155884.9930,15,
202208,83323616.020000,603977.8028,31,
202208,669774310.820000,6768857.8609,0,
202208,229310890.710000,2453391.1654,16,
202208,325477830.570000,4111255.0815,10,
202208,536678035.280000,1574651.1460,2,
202208,271484866.750000,2265453.0238,13,
202208,589735736.510000,-613099.5663,1,
202208,344538149.410000,4813912.1527,9,
202208,202546554.650000,1245461.7206,18,
202208,189587172.540000,2208412.6803,19,
202208,305799295.190000,3811261.2382,11,
202208,416248937.880000,4852455.9739,6,
202208,287571158.460000,3270270.4236,12,
202208,469653154.470000,4473231.5590,4,
202208,56555932.120000,70311.8042,36,
202208,367634735.370000,5495800.2577,8,
202208,117636354.490000,736783.8217,26,
202208,388634194.520000,5404890.1785,7,
202208,215314306.520000,2537191.3425,17,
202208,177500385.220000,1279599.1218,20,
202208,72213990.720000,238558.6239,33,
202208,89940561.930000,492006.0011,30,
202208,257106950.670000,3015124.9082,14,
202208,166537014.970000,1364095.9627,21,
202208,103447113.720000,504785.6529,28,
202208,134874267.160000,941585.4480,24,
202208,66763057.940000,107092.7495,34,
202208,157689476.210000,1356255.0432,22,
202208,125870473.200000,478462.4074,25,
202208,95784674.870000,407064.0812,29,
202208,61352715.150000,393570.2422,35,
202208,145265012.320000,743956.0202,23,
202208,110331635.510000,584388.8262,27,
202208,52726821.700000,292112.9495,37,
202208,77486314.290000,453781.4738,32,
202501,431095858.610000,1351820.0568,5,0.020711
202501,549341201.710000,-125101.3006,2,0.020711
202501,502829922.930000,731805.7603,3,0.020711
202501,626243282.590000,-915280.4648,1,0.020711
202501,723059932.750000,7270167.7804,0,0.020711
202501,346160344.160000,1060720.9949,8,0.020711
202501,401175542.580000,1229242.8548,6,0.020711
202501,466483219.750000,672187.4225,4,0.020711
202501,372622810.560000,1474041.5094,7,0.020711
202204,69680475.740000,257596.0671,34,
202204,237249205.450000,3003595.4211,16,
202204,540487800.840000,5027357.8947,3,
202204,81121406.000000,302010.1459,32,
202204,196602276.880000,2037708.2282,19,
202204,441975980.680000,6297845.6162,6,
202204,151902721.920000,1624421.6915,23,
202204,503836707.450000,5191571.0906,4,
202204,252412668.810000,4509427.0330,15,
202204,284168501.340000,4755606.3236,13,
202204,343765379.000000,4148738.6911,10,
202204,390167451.800000,4444119.3173,8,
202204,715369839.450000,7222005.0225,0,
202204,222622243.630000,2226768.9370,17,
202204,472811346.830000,4932267.7857,5,
202204,208873669.590000,2745701.7522,18,
202204,586094005.680000,1767190.6961,2,
202204,638504044.310000,-467463.1345,1,
202204,94722193.230000,654988.2580,30,
202204,302266857.330000,4354959.2634,12,
202204,365762281.990000,4547058.2195,9,
202204,64299665.050000,325424.6567,35,
202204,413086343.320000,4842812.2437,7,
202204,185271216.700000,1790745.9819,20,
202204,162006070.110000,1157057.1706,22,
202204,320170905.680000,5190844.8658,11,
202204,87592754.160000,346168.2384,31,
202204,116501986.700000,853170.7751,27,
202204,141500668.660000,1227628.9360,24,
202204,51028986.150000,77711.7214,38,
202204,173425193.690000,2135361.6949,21,
202204,268170495.520000,4679519.8850,14,
202204,125148424.100000,656272.7537,26,
202204,43657666.790000,-17318.3258,40,
202204,54815818.990000,595554.8598,37,
202204,108623126.750000,469785.6232,28,
202204,132632708.190000,1600882.6474,25,
202204,74968507.900000,406104.3708,33,
202204,101607636.850000,494662.3291,29,
202204,59186560.010000,212835.4128,36,
202204,47397891.050000,261604.8790,39,
202204,39942106.010000,119678.8317,41,
202312,143388418.650000,598067.9410,13,
202508,579488222.510000,-1147059.9298,1,0.022046
202407,195690741.110000,604893.2641,11,0.023694
202312,338110925.620000,195161.6049,2,
202312,377762554.980000,-477304.0914,1,
202407,307462730.230000,1009383.2318,5,0.023694
202312,281788963.520000,1341410.2201,4,
202312,222554715.250000,1294088.9037,7,
202312,259434109.040000,2119597.4815,5,
202407,213499108.120000,592545.7225,10,0.023694
202312,435307774.470000,4396066.5374,0,
202407,180616722.550000,394036.2634,12,0.023694
202407,267251309.430000,831214.6845,7,0.023694
202407,286280737.400000,1309916.5594,6,0.023694
202312,110362881.530000,358091.9322,17,
202407,245107349.950000,778631.1164,8,0.023694
202312,116733024.770000,911704.5636,16,
202312,190221042.720000,577484.1674,9,
202407,331120262.210000,655359.5247,4,0.023694
202312,205710957.510000,1513339.2172,8,
202508,700128894.560000,7128501.3405,0,0.022046
202312,103273587.020000,541337.4309,18,
202312,125143150.010000,608523.5141,15,
202312,135049176.220000,440935.4971,14,
202312,243211704.280000,1942363.9810,6,
202407,451778082.310000,-726408.2621,1,0.023694
202407,169528447.390000,645138.8606,13,0.023694
202407,396547672.920000,-162828.5317,2,0.023694
202312,307383327.070000,1244433.5308,3,
202312,176635455.580000,1103070.2996,10,
202407,527914811.720000,5342473.3020,0,0.023694
202312,163966064.560000,722537.8553,11,
202407,360595820.590000,439549.8941,3,0.023694
202312,88104843.270000,516030.9332,20,
202312,153111696.040000,833048.3498,12,
202312,82287916.700000,461849.1784,21,
202407,157979829.500000,506084.6594,14,0.023694
202407,228493870.260000,871146.2416,9,0.023694
202312,95872779.270000,429714.8795,19,
202303,524589555.750000,-507214.4858,1,
202303,582873823.230000,5962782.5711,0,
202303,189330874.350000,1199664.0013,16,
202303,69378207.420000,96534.6759,30,
202303,243352128.520000,2588003.6011,12,
202303,383363814.390000,3296699.4128,5,
202303,409282356.240000,4194122.3357,4,
202303,439544795.000000,3987939.2058,3,
202303,106977910.160000,467269.3902,24,
202303,115493707.760000,434935.4961,23,
202303,259328344.150000,1659966.1144,11,
202303,142988535.550000,578045.2634,20,
202303,296264899.460000,2647172.3163,9,
202303,357039173.280000,2831645.0585,6,
202303,277637769.410000,2550592.3800,10,
202303,476955772.440000,1389139.3531,2,
202303,331968390.180000,2859216.8720,7,
202303,162744041.730000,912396.9093,18,
202303,227469762.140000,1956953.4040,13,
202303,123164010.960000,788872.9485,22,
202303,313306165.410000,1974700.0104,8,
202303,86725867.590000,386159.6889,27,
202303,176003102.360000,1066464.3302,17,
202303,202534716.700000,1490021.5364,15,
202303,92863272.340000,547916.9937,26,
202303,213523518.040000,2254169.4354,14,
202303,80446585.240000,350155.1376,28,
202303,99697786.490000,723606.7914,25,
202303,132334500.570000,498745.4503,21,
202303,75018047.620000,350299.7746,29,
202303,152106768.560000,804685.7840,19,
202306,112780158.140000,567264.6965,20,
202306,387681588.280000,384383.8620,2,
202306,314033689.660000,2252747.6522,5,
202306,171148736.780000,1129443.5011,14,
202306,208438514.120000,2018415.1989,11,
202306,78826991.000000,766075.6484,25,
202306,426263322.440000,-510955.6153,1,
202306,276321130.060000,2501268.4694,7,
202306,486800513.820000,4897993.8489,0,
202306,257502926.430000,1227589.4117,8,
202306,333723647.830000,2027895.9790,4,
202306,295035617.690000,2550713.1260,6,
202306,129424262.880000,870650.6336,18,
202306,105045889.530000,1022918.6643,21,
202306,358992903.520000,1292500.1906,3,
202306,239885956.590000,1711501.1372,9,
202306,97774389.030000,726115.3423,22,
202306,222996208.890000,1135771.1551,10,
202306,120666476.230000,553312.5796,19,
202306,138682734.210000,1023336.3220,17,
202306,183207087.720000,1098613.2101,13,
202306,147846236.990000,297116.3669,16,
202306,67495065.960000,379958.6446,27,
202306,90333304.800000,598570.4458,23,
202306,84678887.010000,482938.0206,24,
202306,197059312.470000,1342386.5099,12,
202306,73816165.890000,737068.4544,26,
202306,159530556.820000,560098.8828,15,
202209,278127827.820000,2442303.9282,12,
202209,433315314.630000,5593454.0976,5,
202209,458127467.180000,5502723.6290,4,
202209,490452173.820000,5496506.0859,3,
202209,529008938.130000,1680280.5446,2,
202209,171707276.950000,1478273.0842,20,
202209,261965587.330000,2955137.4232,13,
202209,335300063.770000,4982249.5047,9,
202209,578911609.630000,-625635.4317,1,
202209,86954888.610000,594326.0793,30,
202209,163366890.300000,1739476.4068,21,
202209,295164425.980000,2541508.9980,11,
202209,403174969.570000,6682517.7902,6,
202209,124078556.090000,814778.5118,25,
202209,657337313.990000,6699141.0691,0,
202209,58953159.880000,399792.3007,35,
202209,314335315.790000,4899535.3835,10,
202209,234711865.190000,1332974.3909,15,
202209,378311096.910000,6532462.2000,7,
202209,53900251.880000,11788.5692,36,
202209,221778309.610000,1869584.0714,16,
202209,355788166.660000,4309111.0362,8,
202209,195058222.200000,1696389.9500,18,
202209,182642393.720000,1679724.3943,19,
202209,74982757.790000,257033.8560,32,
202209,100335215.130000,708266.0010,28,
202209,208583201.730000,1471043.2330,17,
202209,107299141.390000,462050.7872,27,
202209,94187111.730000,430981.7179,29,
202209,152552565.750000,1023064.5172,22,
202209,115526498.990000,940013.5605,26,
202209,143248420.810000,1227605.8572,23,
202209,133255354.040000,315864.7947,24,
202209,247682277.790000,2549049.0778,14,
202209,80928103.130000,496918.1631,31,
202209,69268171.470000,113530.0312,33,
202209,64066415.750000,255446.5984,34,
202302,506613697.000000,5700762.5956,3,
202302,547547209.890000,2285369.0607,2,
202302,593877591.890000,-507734.2613,1,
202302,140303682.300000,461415.0011,22,
202302,275495898.890000,2166495.9159,12,
202302,317186541.100000,3424311.8739,10,
202302,173678756.170000,159027.5978,19,
202302,360401025.630000,4237934.0461,8,
202302,445256616.590000,6967540.6991,5,
202302,669457854.270000,6789276.0221,0,
202302,73018912.000000,36209.9784,31,
202302,385481297.790000,3403663.6657,7,
202302,415695699.400000,4887985.9131,6,
202302,475000637.780000,5567869.0320,4,
202302,258100888.250000,2771130.6664,13,
202302,336867347.430000,2947532.6614,9,
202302,297081030.160000,3398054.2270,11,
202302,214406998.820000,1421773.9453,16,
202302,240166388.490000,2110406.1646,14,
202302,162001572.810000,892508.7636,20,
202302,91677807.740000,431849.8733,28,
202302,79146383.160000,331990.9602,30,
202302,85664218.550000,708363.4158,29,
202302,200429889.490000,1184052.2292,17,
202302,98491639.530000,918570.9087,27,
202302,105099671.880000,666213.1515,26,
202302,111562955.940000,933112.6028,25,
202302,226332564.460000,1873755.8679,15,
202302,151150111.430000,604496.7197,21,
202302,120286402.070000,469887.1277,24,
202302,187473578.520000,1079791.4983,18,
202302,129964112.370000,871032.9996,23,
202305,463180965.240000,4744231.8199,0,
202305,146110025.530000,1022136.6164,15,
202305,203342079.280000,2049144.5868,10,
202305,288093419.080000,2793472.0027,5,
202305,268875059.370000,2236332.5888,6,
202305,218116531.620000,1195907.1026,9,
202305,404966946.560000,-439211.0562,1,
202305,127497137.030000,1160350.1636,17,
202305,188781571.350000,1419203.9432,11,
202305,156338062.850000,788614.8404,14,
202305,167104361.530000,1529921.5054,13,
202305,364477145.080000,924675.4213,2,
202305,235445002.990000,2208828.6657,8,
202305,60173397.150000,525082.9204,28,
202305,85736364.880000,686929.9758,23,
202305,64539745.430000,396922.9190,27,
202305,136123564.840000,713176.7068,16,
202305,112424776.840000,759197.8384,19,
202305,177065264.890000,1647893.9400,12,
202305,331356495.790000,1432598.6183,3,
202305,104885372.110000,585679.2994,20,
202305,74128301.300000,666012.7755,25,
202305,98309201.140000,313506.6191,21,
202305,307690604.680000,1667134.0402,4,
202305,68832575.340000,679370.4476,26,
202305,91878696.790000,503560.8610,22,
202305,251780142.270000,1933820.9828,7,
202305,119484158.740000,496510.0489,18,
202305,80107687.060000,716265.3541,24,
202506,576531299.050000,952594.1107,3,0.020243
202506,634054694.260000,191786.1821,2,0.020243
202506,823845167.620000,8294256.1962,0,0.020243
202506,701345049.700000,-1105482.0276,1,0.020243
202412,611476334.710000,6162378.9912,0,0.022025
202412,338119694.290000,1342597.1121,6,0.022025
202412,423025777.260000,510079.5299,3,0.022025
202412,363606321.210000,1209474.0728,5,0.022025
202412,311771384.710000,1210735.3758,7,0.022025
202412,390291011.670000,744976.5600,4,0.022025
202412,470033293.250000,-132139.6559,2,0.022025
202412,519733563.110000,-868004.1965,1,0.022025
202412,272386232.790000,751457.5138,9,0.022025
202412,292381600.430000,1247912.9152,8,0.022025
202504,514108272.540000,-1039661.4971,1,0.023864
202406,192556282.440000,1141525.2075,12,0.029286
202307,334123563.340000,2619013.8941,6,
202406,242164761.420000,1632115.8038,9,0.029286
202504,411012817.340000,675419.7031,3,0.023864
202406,180437990.470000,982558.4520,13,0.029286
202307,523805154.030000,5267990.1200,0,
202406,383740194.230000,892368.0784,3,0.029286
202307,471335349.910000,-406546.6597,1,
202307,270408904.700000,1554276.7298,9,
202307,238552468.120000,1612710.8355,11,
202504,379287873.310000,931249.8286,4,0.023864
202406,281744014.790000,1820927.9748,7,0.029286
202307,112466347.210000,591979.8353,22,
202406,168869354.870000,907653.6697,14,0.029286
202307,434591395.340000,404185.9441,2,
202307,377407467.600000,1945640.5368,4,
202406,329055121.770000,1989143.4437,5,0.029286
202406,351713880.270000,1287986.5381,4,0.029286
202307,402300802.930000,1349617.3566,3,
202406,304055995.640000,1855581.0293,6,0.029286
202406,420186069.290000,193178.9479,2,0.029286
202307,205853103.060000,1236977.8548,13,
202307,169579889.240000,650199.5149,16,
202307,253158762.810000,1977764.9603,10,
202406,208115641.660000,948835.3430,11,0.029286
202504,620376240.630000,6293847.0356,0,0.023864
202307,289543444.040000,1908607.4291,8,
202406,223619498.450000,1195625.3661,10,0.029286
202307,355971111.170000,1970234.0397,5,
202504,349603659.700000,1299466.0982,5,0.023864
202307,149597606.910000,564134.5184,18,
202406,260901487.080000,999911.6251,8,0.029286
202406,551422639.090000,5534389.5214,0,0.029286
202307,180262945.400000,765744.9241,15,
202504,452973849.510000,-134249.5730,2,0.023864
202406,470472428.640000,-677754.9550,1,0.029286
202307,97659470.200000,409968.0046,24,
202307,120842540.420000,727717.7840,21,
202307,311060628.840000,1629917.3082,7,
202307,139677603.160000,503238.5774,19,
202307,105488019.040000,374938.5250,23,
202307,159398129.220000,1013783.2556,17,
202307,192413898.090000,578243.5450,14,
202307,90608559.370000,405864.9192,25,
202406,156962272.330000,991764.5087,15,0.029286
202307,129754904.610000,849299.0174,20,
202307,220891692.030000,1121075.6677,12,
202307,84728163.790000,364275.4353,26,
202405,276030508.030000,954849.5923,9,0.029489
202405,295858562.350000,1747451.8852,8,0.029489
202405,223359868.880000,1135076.1584,12,0.029489
202405,208325965.830000,1289938.0637,13,0.029489
202405,540724270.980000,-655975.4224,1,0.029489
202405,256062940.810000,1345601.7625,10,0.029489
202405,319798558.460000,1697859.5981,7,0.029489
202405,239025170.520000,1215411.2661,11,0.029489
202405,440174537.920000,1037217.2135,3,0.029489
202405,370651421.990000,2050452.9531,5,0.029489
202405,182112411.400000,1201014.6650,15,0.029489
202405,404804452.620000,1176763.9718,4,0.029489
202405,345997236.920000,1579285.8617,6,0.029489
202405,481052882.180000,45254.1785,2,0.029489
202405,613027113.020000,6155523.8669,0,0.029489
202405,194444874.070000,787507.7757,14,0.029489
202405,170025046.370000,756108.3428,16,0.029489
202207,270025953.090000,2977383.7040,14,
202207,494880042.770000,4626045.1079,4,
202207,526421798.240000,4744233.5919,3,
202207,569837923.030000,1418146.5685,2,
202207,126919624.360000,492854.0818,26,
202207,66467534.360000,173999.8360,35,
202207,710270696.420000,7200503.4690,0,
202207,365366159.430000,5304266.5087,9,
202207,437793432.080000,6224924.8862,6,
202207,626520032.860000,-636309.1059,1,
202207,286131257.640000,3484473.0385,13,
202207,83663746.940000,263463.2417,32,
202207,466543912.280000,5341062.7827,5,
202207,156966210.620000,1307488.4329,23,
202207,302444298.910000,3741680.5577,12,
202207,343537580.670000,4823816.6175,10,
202207,411188809.680000,4057667.1115,7,
202207,136646799.540000,846553.2623,25,
202207,322721458.840000,5014555.4464,11,
202207,108834131.230000,186497.5931,28,
202207,77057097.420000,364132.8303,33,
202207,254718193.180000,2795246.4878,15,
202207,386716776.420000,6316242.0348,8,
202207,215010372.730000,2138772.3943,18,
202207,165242757.690000,1192858.1393,22,
202207,189951006.950000,2002184.4910,20,
202207,175613961.750000,1676296.3064,21,
202207,72010848.330000,144890.4232,34,
202207,55853297.110000,144545.4981,37,
202207,95553213.120000,263324.8145,30,
202207,227968272.950000,2502028.1761,17,
202207,89837776.880000,227633.4986,31,
202207,146019692.320000,660888.7185,24,
202207,118001480.880000,890266.3224,27,
202207,202381522.540000,1618034.6558,19,
202207,241483444.680000,3042539.8159,16,
202207,60912580.300000,286739.7549,36,
202207,51207176.770000,98945.6610,38,
202207,102140587.900000,802173.4622,29,
202408,316654632.630000,792263.2995,6,0.024186
202408,579965695.710000,5878340.7550,0,0.024186
202408,291489991.160000,1401938.4683,7,0.024186
202408,490010064.420000,-828377.6135,1,0.024186
202408,250450059.290000,1224051.4728,9,0.024186
202408,368692756.230000,1243141.7414,4,0.024186
202408,399420117.020000,779259.1816,3,0.024186
202408,435310289.320000,-56864.9423,2,0.024186
202408,269879693.160000,1152700.3517,8,0.024186
202408,339985779.000000,1642749.4219,5,0.024186
202408,184970966.530000,565787.0590,13,0.024186
202408,215141414.760000,794506.9542,11,0.024186
202408,200190126.470000,1035508.6510,12,0.024186
202408,232784874.210000,1001845.1830,10,0.024186
202409,250260325.680000,1504984.4565,11,0.023737
202409,310228070.540000,1532850.6627,8,0.023737
202409,393317272.320000,850312.0377,5,0.023737
202409,456551960.420000,424397.4387,3,0.023737
202409,232976764.990000,722989.4469,12,0.023737
202409,359124729.090000,1302273.4019,6,0.023737
202409,551593550.130000,-980972.8244,1,0.023737
202409,419770188.150000,871536.2531,4,0.023737
202409,647343786.400000,6635903.5379,0,0.023737
202409,333518356.750000,1593634.6536,7,0.023737
202409,497906305.010000,-129579.5487,2,0.023737
202409,289426587.370000,1446208.5418,9,0.023737
202409,267894911.570000,974250.0980,10,0.023737
202308,460724790.220000,-530782.2041,1,
202308,332463025.950000,2535287.9663,5,
202308,109915428.370000,871850.5849,21,
202308,263551190.860000,1268310.4240,8,
202308,354875641.750000,1497409.3081,4,
202308,522742772.650000,5292298.3693,0,
202308,153928392.640000,652423.3465,16,
202308,308112765.240000,1869236.2928,6,
202308,382085941.050000,1462574.8630,3,
202308,414669409.190000,386217.8379,2,
202308,101980100.560000,449702.0350,22,
202308,232388419.990000,1472677.5293,10,
202308,285073284.370000,1601914.2410,7,
202308,187259125.200000,580519.1468,13,
202308,118487690.380000,635337.8338,20,
202308,164557764.910000,1070460.0694,15,
202308,175451852.600000,932275.2288,14,
202308,81146363.900000,308850.4390,25,
202308,135314246.820000,584912.1896,18,
202308,247265941.160000,1627375.4298,9,
